username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
fanquake;2018-03-01 14:44;0;0;"Which raingauges/weather stations are used to determine rainfall?";;;;"969342725916000257";https://twitter.com/fanquake/status/969342725916000257
fanquake;2018-02-28 18:47;0;0;"How often will you remap? Are you expecting your zones to change significantly, or just be adjusting rates each year?";;;;"969041303563587585";https://twitter.com/fanquake/status/969041303563587585
fanquake;2018-02-28 04:27;0;2;"Are you able to export a coverage map with weed positions/types after spraying?";;;;"968824855750561792";https://twitter.com/fanquake/status/968824855750561792
fanquake;2018-02-20 17:45;0;60;"New project for this year, building a tow behind liquid cart. Have run wetting agents on the seeder for a while (tank on the air cart), now time to try N down the tube. Set it up for VRT, so when we’ve got it figured out, we can just add an N rate to our existing zones. pic.twitter.com/3qAx7VqMRQ";;;;"966126702421204992";https://twitter.com/fanquake/status/966126702421204992
fanquake;2018-02-20 17:14;0;1;"If it takes GPS input, can you import maps that will control the dumping automatically? Can you export your completed dump maps?";;;;"966118937707474945";https://twitter.com/fanquake/status/966118937707474945
fanquake;2018-02-11 20:09;26;10;"We are looking for two operators for seeding this year. Farm is 100km NE of Geraldton in East Binnu/Balla (5hrs North of Perth). Start at the end of February, work through to the end of May. Message me on here, or get in touch via the email below. pic.twitter.com/4E4f5QNlO2";;;;"962901441298903041";https://twitter.com/fanquake/status/962901441298903041
fanquake;2018-02-11 00:38;0;4;"Binnu & Yuna always on the cards.";;;;"962606683749953536";https://twitter.com/fanquake/status/962606683749953536
fanquake;2018-02-08 22:44;0;4;"Lots of discussion here https:// twitter.com/AndrewTodd13/s tatus/958119540331765760 … , and the resulting threads.";;;;"961853244258500609";https://twitter.com/fanquake/status/961853244258500609
fanquake;2018-02-06 04:19;0;0;"What new software are you learning to use Bindi?";;;;"960850356589576192";https://twitter.com/fanquake/status/960850356589576192
fanquake;2018-02-06 03:39;0;1;"What falls into the $11’000 worth of misc software?";;;;"960840404928114688";https://twitter.com/fanquake/status/960840404928114688
fanquake;2018-02-03 20:08;1;6;"I’d recommended looking into Swift. You’d probably be able to port that app in a day or so. SnapKit is good for being able to programmatically lay out your interface, if your not a fan of storyboards/interface builder.";;;;"960002105040822272";https://twitter.com/fanquake/status/960002105040822272
fanquake;2018-02-02 04:26;0;1;"See https:// twitter.com/fanquake/statu s/911555889949057024 … and following tweets for video.";;;;"959402588939538433";https://twitter.com/fanquake/status/959402588939538433
fanquake;2018-02-01 15:53;7;15;"An 11minute documentary from @jason_koebler and @laragheintz about John Deere and Right to Repair. Discussing "hacking" equipment and access to diagnostic tools. https://www. youtube.com/watch?v=F8JCh0 owT4w …";;@jason_koebler @laragheintz;;"959213183322923008";https://twitter.com/fanquake/status/959213183322923008
fanquake;2018-02-01 01:04;1;15;"@theGRDC "Big-data", autonomous machinery and precision ag are meant to be playing a big role in agricultures future. However "precision agriculture" only gets a single mention in the entire paper. Where can we find more information about the GRDCs plans in this space? #GRDC2023 pic.twitter.com/nS7OvrVNxd";;@theGRDC;#GRDC2023;"958989377312403458";https://twitter.com/fanquake/status/958989377312403458
fanquake;2018-01-28 21:36;0;1;"I’m hoping there might still be few blokes around for the big bash semi-final, and doing boarding school drop offs.";;;;"957849821401964544";https://twitter.com/fanquake/status/957849821401964544
fanquake;2018-01-18 21:39;0;0;"We’ll keep tabs on them throughout the year then . What’s the subsoil moisture like there?";;;;"954226734764670976";https://twitter.com/fanquake/status/954226734764670976
fanquake;2018-01-18 21:30;0;0;"Are you going to leave a strip or two unripped for a yield comparison?";;;;"954224526555955200";https://twitter.com/fanquake/status/954224526555955200
fanquake;2018-01-17 19:38;0;1;"Give Mark Dawson at Tuncoat a ring if you haven’t already. If you’ve worn the end off some, he can weld an adapter plate onto them and add new teeth. Otherwise, we don’t have available as spares.";;;;"953834040020189184";https://twitter.com/fanquake/status/953834040020189184
fanquake;2018-01-15 20:29;0;1;"A bit wider than your widest track/wheel width. Also need to take into account if your running duals on your header. If you only have single wheel trams, the outer dual could end up under a lot of stress.";;;;"953122073752170496";https://twitter.com/fanquake/status/953122073752170496
fanquake;2018-01-15 18:22;0;1;"Track machines will run fine on that. Boomsprays can have issues if they start to wobble and will fall off. Big issue is not making the tramlines wide enough, or ripping too close to them and breaking them up.";;;;"953089947078082560";https://twitter.com/fanquake/status/953089947078082560
fanquake;2018-01-14 18:50;0;1;"South Murchison";;;;"952734672424857600";https://twitter.com/fanquake/status/952734672424857600
fanquake;2018-01-14 17:51;15;79;"Unfortunately the ute doesn’t run at 3m. pic.twitter.com/iPwGEzNrJZ";;;;"952719838656409600";https://twitter.com/fanquake/status/952719838656409600
